"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"43","080130121011",960,176.899696048632,960,176.899696048632,47,33.5009014795255,156,59.3071354419989,12,25.5897448995127,418,145.288753799392,27,18.2370820668693,106,81.4589665653495,817,168.38905775076,0,6.68693009118541,29,20.6686930091185,46,32.8267477203647,32,29.1793313069909,74,75.3799392097264,0,6.68693009118541
"44","080130121012",1470,139.817629179331,1470,139.817629179331,98,44.3727357833305,325,79.2817975451712,288,70.0645813214537,171,81.4589665653495,0,6.68693009118541,56,38.9057750759878,1458,135.562310030395,0,6.68693009118541,0,6.68693009118541,12,12.1580547112462,0,6.68693009118541,56,38.9057750759878,15,14.5896656534954
"45","080130121013",1137,135.562310030395,1127,134.954407294833,76,29.7375679237325,257,53.173249152206,140,46.5988277124299,405,88.7537993920973,66,26.7477203647416,146,67.4772036474164,985,135.562310030395,0,6.68693009118541,118,67.4772036474164,33,31.6109422492401,54,52.2796352583587,92,46.8085106382979,27,18.8449848024316
"46","080130121014",1078,169.604863221885,1078,169.604863221885,14,14.9524302446794,284,60.6167736859597,54,32.0348015228095,176,58.9665653495441,27,17.629179331307,88,55.3191489361702,994,170.820668693009,0,6.68693009118541,0,6.68693009118541,84,54.7112462006079,50,49.8480243161094,38,25.531914893617,16,15.1975683890577
"47","080130121021",1500,207.90273556231,1500,207.90273556231,107,39.5463974888525,253,67.8567599386058,92,49.5841484848761,583,139.817629179331,147,46.8085106382979,217,80.2431610942249,1230,192.705167173252,0,6.68693009118541,18,17.629179331307,236,106.990881458967,137,74.1641337386018,80,39.5136778115502,36,23.7082066869301
"48","080130121022",1730,220.668693009119,1594,209.118541033435,106,39.6443944940556,227,66.1190294525409,305,70.3803313721887,636,164.133738601824,55,39.5136778115502,105,51.063829787234,1490,207.90273556231,0,6.68693009118541,116,97.2644376899696,104,48.0243161094225,13,12.7659574468085,92,49.8480243161094,0,6.68693009118541
"49","080130121023",1807,286.93009118541,1783,286.93009118541,135,57.7603575451414,315,82.2580234652207,129,41.7200241623671,572,222.492401215805,110,47.4164133738602,142,80.2431610942249,1543,223.70820668693,0,6.68693009118541,241,214.589665653495,0,6.68693009118541,87,64.4376899696049,55,40.7294832826748,55,40.7294832826748
"50","080130121024",1467,194.528875379939,1448,194.528875379939,41,26.6438990891321,265,67.8240762600917,212,65.7603543295673,406,108.206686930091,83,34.6504559270517,125,91.1854103343465,1434,192.705167173252,0,6.68693009118541,0,6.68693009118541,15,13.3738601823708,0,6.68693009118541,125,91.1854103343465,13,12.7659574468085
"51","080130121025",954,177.507598784195,954,177.507598784195,31,24.633190990097,317,92.7644436530711,105,41.8040881384904,130,54.1033434650456,44,40.1215805471125,94,75.3799392097264,855,170.820668693009,0,6.68693009118541,0,6.68693009118541,41,41.3373860182371,81,74.7720364741641,13,9.72644376899696,0,6.68693009118541
"52","080130121031",1096,126.44376899696,1096,126.44376899696,41,17.4076851833147,280,59.9701517575126,169,36.0563711278709,181,73.5562310030395,41,34.6504559270517,41,24.9240121580547,1012,125.835866261398,0,6.68693009118541,12,11.5501519756839,65,26.7477203647416,6,7.90273556231003,35,24.9240121580547,19,12.1580547112462
