"","pid","wt","POP","HH","AGE5U","AGE18U","AGE65O","NFAM","NFAMALONE","POV","RACWHITE","RACBLACK","RACASIAN","RACHSPLAT","POV.FAM","POV.NFAM","POV.NFAMALONE"
"1","69a",13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"2","69b",10,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"3","1209",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4","1417a",20,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"5","1417b",21,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"6","1453a",21,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"7","1453b",22,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"8","1478",19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9","2645",18,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"10","2782",23,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"11","3118",24,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"12","4593",17,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"13","5465",41,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"14","8202",8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"15","9014a",23,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"16","9014b",20,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"17","9238a",30,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"18","9238b",29,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"19","9815",23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20","9835a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"21","9835b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"22","9835c",16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"23","9835d",13,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"24","9886a",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"25","9886b",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"26","9886c",17,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"27","9886d",22,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"28","12209",7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"29","12353",13,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"30","12540",23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31","13875",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","14340a",19,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"33","14340b",25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"34","14340c",25,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"35","15626a",9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"36","15626b",7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"37","15626c",7,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"38","15626d",8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"39","15702",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"40","16248",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"41","16601a",14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"42","16601b",11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"43","16601c",9,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"44","16601d",9,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
