"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"1","08013012101",4645,207.90273556231,4635,208.510638297872,235,65.5408241796647,1022,124.290467848507,494,84.2246991470784,1170,173.860182370821,120,34.0425531914894,396,124.012158054711,4254,221.276595744681,0,6.68693009118541,147,71.1246200607903,175,78.419452887538,136,79.6352583586626,260,94.2249240121581,58,29.7872340425532
"2","08013012102",7458,313.677811550152,7279,309.422492401216,420,86.2215261357834,1377,160.509347155526,843,118.808831634397,2327,316.717325227963,439,96.6565349544073,683,167.781155015198,6552,289.36170212766,0,9.72644376899696,375,228.571428571429,396,128.267477203647,318,122.796352583587,365,115.501519756839,104,51.063829787234
"3","08013012103",3953,165.349544072948,3931,167.173252279635,111,32.2417765499723,776,91.9883593762439,539,63.5600030278795,1031,131.914893617021,187,46.8085106382979,344,127.659574468085,3299,142.857142857143,52,20.0607902735562,58,25.531914893617,407,151.367781155015,205,130.699088145897,139,40.1215805471125,94,26.7477203647416
"4","08013012104",2424,123.404255319149,2414,123.404255319149,87,46.060417603683,586,86.1679344407534,498,66.0043534971285,507,89.9696048632219,79,29.1793313069909,250,63.8297872340426,2107,124.620060790274,0,6.68693009118541,27,16.4133738601824,230,72.3404255319149,137,60.1823708206687,113,34.6504559270517,29,13.3738601823708
"5","08013012105",5604,299.696048632219,5594,300.303951367781,362,78.7580165897478,1352,196.718302077894,637,108.948653214443,1675,201.215805471125,354,79.6352583586626,587,206.079027355623,4092,191.489361702128,17,17.0212765957447,243,55.3191489361702,1222,199.392097264438,326,195.136778115502,261,78.419452887538,73,35.8662613981763
"6","08013012201",3760,233.434650455927,3760,233.434650455927,90,29.1919932001045,302,57.8849823999527,539,60.6868420995907,2016,240.729483282675,196,43.161094224924,1132,204.863221884498,3583,227.355623100304,6,6.0790273556231,12,11.5501519756839,84,35.258358662614,137,64.4376899696049,995,204.863221884498,136,37.6899696048632
"7","08013012202",6189,400,6082,400.607902735562,83,29.0333226413606,293,59.6953057729301,293,57.603395409327,4827,422.492401215805,646,91.7933130699088,2578,409.118541033435,4645,337.386018237082,191,77.2036474164134,308,88.7537993920973,769,217.021276595745,80,71.7325227963526,2498,400.607902735562,328,71.7325227963526
"8","08013012203",7131,324.620060790274,7116,325.227963525836,88,35.6803175460892,876,145.209883082917,885,130.157923965671,3431,262.006079027356,1248,144.68085106383,1141,190.881458966565,5077,287.537993920973,17,17.0212765957447,398,100.303951367781,1444,240.121580547112,291,117.325227963526,850,159.878419452888,516,115.501519756839
"9","08013012204",3833,189.665653495441,3701,182.978723404255,40,24.4676131276573,73,29.9850758787563,293,51.110848233094,2966,191.489361702128,362,56.5349544072948,1656,215.80547112462,3431,190.273556231003,85,38.2978723404255,29,16.4133738601824,241,65.6534954407295,107,65.6534954407295,1549,208.510638297872,157,41.9452887537994
"10","08013012300",6982,410.942249240122,1605,113.06990881459,109,33.1237269928882,270,51.5033910759274,14,31.376262372192,906,92.4012158054711,186,32.2188449848024,571,105.775075987842,4620,257.142857142857,98,42.5531914893617,1425,500.911854103343,668,102.127659574468,110,48.6322188449848,461,93.0091185410334,45,15.8054711246201
"11","08013012401",5802,486.93009118541,5092,463.829787234043,87,29.6067979620326,195,45.7585635661005,183,49.3825101754803,4234,455.927051671732,373,85.1063829787234,3266,378.115501519757,4802,445.592705167173,114,67.4772036474164,103,49.8480243161094,638,212.765957446808,19,17.629179331307,3247,376.899696048632,365,94.2249240121581
"12","08013012501",2645,132.522796352584,2645,132.522796352584,71,30.7216505008955,343,53.4332326889866,347,58.9352218267057,1158,117.325227963526,174,48.6322188449848,421,106.382978723404,2136,135.562310030395,50,37.0820668693009,130,51.063829787234,239,75.9878419452887,81,49.8480243161094,340,95.4407294832827,137,42.5531914893617
